apogee_id,telescope,field,teff,logg,fe_h
2M15145309+0116160,apo25m,M5PAL5,6028.295,3.719655,-0.23566
2M11494676+0213545,apo25m,270+60,6203.954,4.270845,-0.021052
2M10380752+4026141,apo25m,180+60,6514.435,4.228401,-0.20507
2M07454300+6442599,apo25m,150+30,6136.629,3.860989,-0.1896
2M15191255+6559337,apo25m,URMINOR,6284.705,4.081157,-0.13835
2M10371611+2326595,apo25m,210+60,6238.899,3.757386,-0.11844
2M13393402-1536578,lco25m,320+45,6153.744,3.852007,-0.0082998
2M12520853+4239129,apo25m,120+75,6153.095,4.073388,-0.42041
2M15122530+6658305,apo25m,URMINOR,6482.534,4.231232,0.1174
2M09235450+2753539,apo25m,200+45,6215.233,4.088746,-0.041206
2M13555788+3151529,apo25m,060+75,6020.071,4.130617,-0.16089
2M12503316+1233377,apo25m,300+75,6115.349,3.77513,-0.011962
2M09260229+2839009,apo25m,200+45,6218.647,4.259698,-0.12449
2M10234713+1449206,apo25m,ORPHAN-2,6138.335,3.794627,-0.14832
2M16194055+5138076,apo25m,080+45,6287.702,4.133369,-0.035345
2M13492076+3344340,apo25m,060+75,6257.468,4.26138,-0.12167
2M03320729+4526557,apo25m,150-08-RV,4624.512,2.387843,0.11146
2M03320729+4526557,apo25m,150-08-RV,4629.921,2.416641,0.10759
2M13462022+2711341,apo25m,M3,6313.796,4.094875,0.048275
2M13462022+2711341,apo25m,M3,6392.149,4.045485,0.098529
2M10263172+1415038,apo25m,ORPHAN-2,6083.117,3.990908,-0.33882
2M03351495+4607233,apo25m,150-08-RV,4261.524,1.824432,-0.12033
2M03351495+4607233,apo25m,150-08-RV,4260.641,1.790475,-0.1151
2M03324489+4623388,apo25m,150-08-RV,3818.743,0.8421836,-0.67725
2M19005897+4539558,apo25m,K07_075+17,4310.549,1.957422,0.072848
2M03273809+4609017,apo25m,150-08-RV,4117.289,1.487846,-0.31944
2M03273809+4609017,apo25m,150-08-RV,4122.134,1.500428,-0.30413
2M15070796+2201043,apo25m,030+60,6171.413,3.829061,-0.095818
2M03413804+4551198,apo25m,150-08-RV,3802.08,0.7974463,-0.3774
2M03413804+4551198,apo25m,150-08-RV,3800.068,0.7852492,-0.36109
2M01240544+8555173,apo25m,N188,4796.774,2.704208,-0.33
2M01240544+8555173,apo25m,N188,4796.107,2.642047,-0.333
2M09303496+5555313,apo25m,160+45,6425.488,4.208438,0.024867
2M13100042+1608526,apo25m,M53,6378.002,4.04512,6.151199E-05
2M03301152+4532362,apo25m,150-08-RV,3935.553,1.000407,-0.57034
2M03301152+4532362,apo25m,150-08-RV,3929.5,0.8973324,-0.52588
2M00261578+5414432,apo25m,120-08-RV,4053.281,1.126726,-0.34428
2M10592728+1138012,apo25m,240+60,6361.809,4.170984,-0.15775
2M10592728+1138012,apo25m,240+60,6231.056,4.011949,-0.22263
2M10113282-0143457,lco25m,SEXTANS,6313.202,3.783397,-0.065826
2M13570643+3426050,apo25m,060+75,6053.032,4.195187,0.16148
2M03304988+4625062,apo25m,150-08-RV,3975.769,1.091323,-0.35923
2M03304988+4625062,apo25m,150-08-RV,3967.452,1.100218,-0.35902
2M01292747+8552276,apo25m,N188,4150.509,1.412461,-0.41233
2M01292747+8552276,apo25m,N188,4152.652,1.431232,-0.42614
2M14504215-0813274,apo25m,PAL5-1,6332.37,4.236776,-0.13593
2M00363938+5423242,apo25m,120-08-RV,4239.814,1.422219,-0.51229
2M00363938+5423242,apo25m,120-08-RV,4243.515,1.428182,-0.52668
2M18543058+0153510,apo25m,034+00,6486.183,4.186032,0.033208
2M00033135-7323576,lco25m,SMC12,3892.818,1.094037,-0.23364
2M11002005+4829190,apo25m,GD1-4,6180.821,3.851557,-0.22945
2M10560970+4801421,apo25m,GD1-4,6368.664,4.410113,0.17132
2M10560970+4801421,apo25m,GD1-4,6263.653,4.311846,0.075634
2M10560970+4801421,apo25m,GD1-4,6252.824,4.364474,0.10228
2M16280255-1306104,apo25m,M107,6106.82,4.076865,-0.098
2M10110985-0230561,lco25m,SEXTANS,4681.046,2.576195,-0.44742
2M13570550+3348254,apo25m,060+75,6116.076,4.344627,-0.056412
2M06551079-0459439,apo25m,COROTA2-RV,3921.39,1.266726,-0.0016699
2M06551079-0459439,apo25m,COROTA2-RV,3926.356,1.277245,0.0015936
2M10132473-0056262,lco25m,SEXTANS,6096.16,3.777162,-0.051997
2M10132473-0056262,lco25m,SEXTANS,6056.502,3.800288,-0.087124
2M15133553+0215015,apo25m,M5PAL5,6341.391,4.318455,-0.093349
2M14582197+8700228,apo25m,120+30,6029.369,3.81154,0.03
2M00345039+5520399,apo25m,120-08-RV,4646.962,2.181482,-0.40044
2M00345039+5520399,apo25m,120-08-RV,4635.8,2.126062,-0.39982
2M03293213+4519275,apo25m,150-08-RV,4937.006,2.512285,-0.31951
2M03293213+4519275,apo25m,150-08-RV,4939.789,2.516729,-0.32745
2M11472567+0200479,apo25m,270+60,6161.713,3.953924,-0.24342
2M01253595+8531372,apo25m,N188,4459.247,1.949113,-0.17334
