sobject_id,apogee_id,match_key,match_method
161216001801394,2M04214742-6700046,04214742-6700046,2mass
161216001801118,2M04160401-6736114,04160401-6736114,2mass
220516001601276,2M12254205-0306337,12254205-0306337,2mass
131217004401021,2M08512990+1147168,08512990+1147168,2mass
201005002101080,2M22361048-0958043,22361048-0958043,2mass
201005002101321,2M22355854-0851505,22355854-0851505,2mass
151109002101062,2M01313526+0554030,01313526+0554030,2mass
140820003701078,2M04074216+1450342,04074216+1450342,2mass
131217004401255,2M08511710+1148160,08511710+1148160,2mass
150707002001266,2M16230438-2623429,16230438-2623429,2mass
170112002601022,2M06443703-6010336,06443703-6010336,2mass
170108003301055,2M07345764-6401439,07345764-6401439,2mass
170108003301181,2M07255690-6338334,07255690-6338334,2mass
161213003101122,2M04225180-6502360,04225180-6502360,2mass
171230004101179,2M05294931-5712264,05294931-5712264,2mass
230802002101339,2M18364680-2329070,18364680-2329070,2mass
161219004601094,2M07220830-6238390,07220830-6238390,2mass
150707002001138,2M16234980-2633589,16234980-2633589,2mass
140707001101218,2M16093057-2515383,16093057-2515383,2mass
201204001601121,2M00580406+0713529,00580406+0713529,2mass
230802002101347,2M18373930-2323447,18373930-2323447,2mass
151109002101161,2M01291348+0559100,01291348+0559100,2mass
230802002101310,2M18355295-2315041,18355295-2315041,2mass
161213001601317,2M04093754-6302372,04093754-6302372,2mass
131217004401320,2M08512618+1153520,08512618+1153520,2mass
230802002101396,2M18371575-2354583,18371575-2354583,2mass
200805006001280,2M01111942+0330397,01111942+0330397,2mass
140707001101390,2M16153272-2522091,16153272-2522091,2mass
230802002101072,2M18355427-2425566,18355427-2425566,2mass
131217004401283,2M08511269+1152423,08511269+1152423,2mass
200810001501234,2M23372971-0914223,23372971-0914223,2mass
171227003101202,2M05141735-5739328,05141735-5739328,2mass
140707001101148,2M16105213-2555153,16105213-2555153,2mass
150707002001170,2M16231655-2632095,16231655-2632095,2mass
140820000101266,2M16232912-2630297,16232912-2630297,2mass
161213002601383,2M04241102-6149195,04241102-6149195,2mass
170112002601097,2M06405095-6039320,06405095-6039320,2mass
131217004401360,2M08515952+1155049,08515952+1155049,2mass
230802001601342,2M16583280-0340286,16583280-0340286,2mass
150707002001036,2M16234879-2635093,16234879-2635093,2mass
161219001601316,2M04093894-6256470,04093894-6256470,2mass
161218001601020,2M04265058-7112167,04265058-7112167,2mass
230802001601121,2M16555723-0451182,16555723-0451182,2mass
140711003401295,2M22025322-0731110,22025322-0731110,2mass
131217004401341,2M08512898+1150330,08512898+1150330,2mass
161213004101152,2M05475794-5640393,05475794-5640393,2mass
170114003601138,2M06553358-5931583,06553358-5931583,2mass
161213002601083,2M04181993-6302022,04181993-6302022,2mass
200528001601285,2M13371568-1324253,13371568-1324253,2mass
160401005401381,2M17222688-2349179,17222688-2349179,2mass
131217004401393,2M08512280+1148016,08512280+1148016,2mass
161213002601308,2M04170797-6111322,04170797-6111322,2mass
170910006101348,2M04455805-6453375,04455805-6453375,2mass
201005002101267,2M22340802-0839316,22340802-0839316,2mass
201005002101172,2M22334838-0936520,22334838-0936520,2mass
171205004101077,2M06143101-6813116,06143101-6813116,2mass
220516001601304,2M12271983-0314176,12271983-0314176,2mass
170202001201061,2M06242526-5512571,06242526-5512571,2mass
161217001601145,2M04115352-6930037,04115352-6930037,2mass
150410003801116,2M16495372-2513516,16495372-2513516,2mass
170109002101347,2M04472703-7418122,04472703-7418122,2mass
170220002101179,2M05564771-6639054,05564771-6639054,2mass
201005002101057,2M22373553-0946225,22373553-0946225,2mass
171205004101021,2M06173908-6815103,06173908-6815103,2mass
151111001601087,2M22373201-0550517,22373201-0550517,2mass
170202000701021,2M06340927-7435368,06340927-7435368,2mass
140820003701075,2M04082575+1427262,04082575+1427262,2mass
141104002301259,2M22334707-1308523,22334707-1308523,2mass
170203001901104,2M06140270-6322043,06140270-6322043,2mass
171227002601192,2M05110628-7110006,05110628-7110006,2mass
200810001501223,2M23394705-0937227,23394705-0937227,2mass
170108003901013,2M07331808-7303121,07331808-7303121,2mass
170203001901041,2M06194704-6319350,06194704-6319350,2mass
201005002101103,2M22360972-0938224,22360972-0938224,2mass
200528001601383,2M13414170-1353326,13414170-1353326,2mass
140821001101210,2M16232437-2632284,16232437-2632284,2mass
160112001601022,2M08181645+1636037,08181645+1636037,2mass
200513002101357,2M07555713-0521073,07555713-0521073,2mass
200528001601041,2M13394219-1432480,13394219-1432480,2mass
161219004601175,2M07162487-6200049,07162487-6200049,2mass
180126002101145,2M06262542-0431003,06262542-0431003,2mass
201006002101212,2M23000515-0606217,23000515-0606217,2mass
201006002101018,2M23034187-0620181,23034187-0620181,2mass
170114004701165,2M06550626-6911204,06550626-6911204,2mass
150707002001029,2M16234740-2631463,16234740-2631463,2mass
171230004101014,2M05365786-5708419,05365786-5708419,2mass
180101002101233,2M05122628-6158529,05122628-6158529,2mass
140711001301385,2M16154364-2519269,16154364-2519269,2mass
160923003701399,2M03370839+2230575,03370839+2230575,2mass
161218003601087,2M04495002-6334166,04495002-6334166,2mass
171205003101230,2M06130503-5627413,06130503-5627413,2mass
170113002601213,2M05435400-6033064,05435400-6033064,2mass
170603006601087,2M19074763-2955051,19074763-2955051,2mass
151111002601161,2M03272307+1821551,03272307+1821551,2mass
131217004401339,2M08514388+1156425,08514388+1156425,2mass
170114003601149,2M06551933-5924420,06551933-5924420,2mass
140711001301183,2M16095136-2537344,16095136-2537344,2mass
161213003101117,2M04222092-6522071,04222092-6522071,2mass
180101002101113,2M05173874-6312187,05173874-6312187,2mass
171230004101223,2M05290949-5644193,05290949-5644193,2mass
171230004101358,2M05345778-5655018,05345778-5655018,2mass
160531004601202,2M19162051-2838260,19162051-2838260,2mass
171206005101077,2M06103528-5508595,06103528-5508595,2mass
170112003601185,2M07030745-6240014,07030745-6240014,2mass
200803004801295,2M23285897-0031285,23285897-0031285,2mass
160916003301364,2M01191331+1111138,01191331+1111138,2mass
201005002101230,2M22320348-0849115,22320348-0849115,2mass
150410003801068,2M16520837-2524049,16520837-2524049,2mass
140711001301090,2M16123980-2547154,16123980-2547154,2mass
171227004601155,2M05521943-5857200,05521943-5857200,2mass
161219004601205,2M07180554-6145381,07180554-6145381,2mass
170128001601048,2M05084034-5855370,05084034-5855370,2mass
170115002701109,2M06531721-6125138,06531721-6125138,2mass
210801001601169,2M16231395-2633244,16231395-2633244,2mass
171230004101312,2M05344652-5622585,05344652-5622585,2mass
171206005101097,2M06085823-5504004,06085823-5504004,2mass
171227004101146,2M05520259-5502097,05520259-5502097,2mass
170130003101206,2M06272470-5711380,06272470-5711380,2mass
150827003401235,2M22391289-1502195,22391289-1502195,2mass
160112001601315,2M08170763+1712437,08170763+1712437,2mass
171228002101020,2M05413410-6640315,05413410-6640315,2mass
180101002601356,2M05251193-6547412,05251193-6547412,2mass
160403004701399,2M13431926-1119266,13431926-1119266,2mass
161213002101015,2M04394968-7304068,04394968-7304068,2mass
161213002601072,2M04165234-6216312,04165234-6216312,2mass
230802002101069,2M18363261-2426235,18363261-2426235,2mass
171206005101044,2M06114289-5457486,06114289-5457486,2mass
200810001501340,2M23411322-0926252,23411322-0926252,2mass
230802001601362,2M16584689-0349456,16584689-0349456,2mass
150719002901241,2M22221701-1435321,22221701-1435321,2mass
151111002601385,2M03323681+1849190,03323681+1849190,2mass
210801001601170,2M16232139-2631093,16232139-2631093,2mass
161006004401369,2M00482644+0207530,00482644+0207530,2mass
200803004801086,2M23293753-0142182,23293753-0142182,2mass
170112003101359,2M07132015-7140188,07132015-7140188,2mass
140707000601172,2M15574576-2006044,15574576-2006044,2mass
160401005401193,2M17202936-2405578,17202936-2405578,2mass
201006002101054,2M23032996-0646437,23032996-0646437,2mass
160531004601089,2M19205276-2931157,19205276-2931157,2mass
171029003301343,2M00074341-2000506,00074341-2000506,2mass
151009002101259,2M19211394-2147396,19211394-2147396,2mass
150719002901018,2M22253068-1509428,22253068-1509428,2mass
201204003101263,2M07011045-2124132,07011045-2124132,2mass
171230004101003,2M05380774-5706213,05380774-5706213,2mass
161219004101284,2M05522862-6755310,05522862-6755310,2mass
171228002101032,2M05413709-6647073,05413709-6647073,2mass
170114003101210,2M06213574-6349443,06213574-6349443,2mass
171208003101063,2M06040248-5651168,06040248-5651168,2mass
170202001201197,2M06182605-5452456,06182605-5452456,2mass
140820003701112,2M04061343+1425259,04061343+1425259,2mass
210916001601173,2M18024168-4715255,18024168-4715255,2mass
140820003701122,2M04054374+1431504,04054374+1431504,2mass
160112001601035,2M08185712+1629371,08185712+1629371,2mass
170114003601324,2M07002386-5816539,07002386-5816539,2mass
200810001101233,2M23151003-0627224,23151003-0627224,2mass
161218002601168,2M04310525-6944234,04310525-6944234,2mass
171230002601310,2M05124484-6012185,05124484-6012185,2mass
160602001601030,2M13305891-1118472,13305891-1118472,2mass
170130002601103,2M06353842-5609202,06353842-5609202,2mass
150901002401320,2M22085917-1412052,22085917-1412052,2mass
170202000701155,2M06215575-7424202,06215575-7424202,2mass
140707003101241,2M22270194-0651292,22270194-0651292,2mass
210711004401097,2M23242000-0943438,23242000-0943438,2mass
200528001601031,2M13405758-1432188,13405758-1432188,2mass
160519006001038,2M18105768-4313377,18105768-4313377,2mass
160531004601051,2M19215151-2903223,19215151-2903223,2mass
171230002601177,2M05073884-6045250,05073884-6045250,2mass
161213004101261,2M05452332-5604040,05452332-5604040,2mass
150411006101381,2M16385288-1908340,16385288-1908340,2mass
200810001101347,2M23192485-0612460,23192485-0612460,2mass
161213002101301,2M04290257-7225291,04290257-7225291,2mass
170114005801208,2M06451618-7327077,06451618-7327077,2mass
140413004901226,2M16353613-2937292,16353613-2937292,2mass
180101002101324,2M05203427-6202275,05203427-6202275,2mass
210801001601059,2M16241055-2642258,16241055-2642258,2mass
151111002601312,2M03301289+1937015,03301289+1937015,2mass
210920001601107,2M18492283-3122013,18492283-3122013,2mass
151111002601342,2M03305441+1908236,03305441+1908236,2mass
171205004601146,2M06075264-5907203,06075264-5907203,2mass
171031003301017,2M06175279-1849040,06175279-1849040,2mass
161217003101024,2M04384244-6308425,04384244-6308425,2mass
171227003601001,2M05523639-6451357,05523639-6451357,2mass
200528001601234,2M13355333-1349461,13355333-1349461,2mass
171227004601193,2M05532772-5837463,05532772-5837463,2mass
171031003301354,2M06175689-1810035,06175689-1810035,2mass
170115002701331,2M06552231-6040071,06552231-6040071,2mass
171227002601010,2M05202897-7111549,05202897-7111549,2mass
210711004401221,2M23213279-0850579,23213279-0850579,2mass
210801001601116,2M16234632-2632272,16234632-2632272,2mass
131216001601019,2M06451918-0103013,06451918-0103013,2mass
161213005101121,2M07120067-5901100,07120067-5901100,2mass
170113003301369,2M06323177-5841532,06323177-5841532,2mass
170203001901142,2M06112075-6319056,06112075-6319056,2mass
200529001801191,2M12023990-0023219,12023990-0023219,2mass
170115002701342,2M06570447-6036100,06570447-6036100,2mass
140820003701237,2M04034842+1551272,04034842+1551272,2mass
170107002101399,2M05050891-7256078,05050891-7256078,2mass
161217001601073,2M04170209-6908088,04170209-6908088,2mass
170114003601074,2M07004607-5945534,07004607-5945534,2mass
171227004601120,2M05543187-5907342,05543187-5907342,2mass
160112001601344,2M08180848+1712198,08180848+1712198,2mass
170112002601327,2M06420464-5929250,06420464-5929250,2mass
150827003401221,2M22400794-1520103,22400794-1520103,2mass
171031003301112,2M06150694-1905167,06150694-1905167,2mass
151008002101033,2M19350906-2756550,19350906-2756550,2mass
160112001601068,2M08183161+1600026,08183161+1600026,2mass
230511004001096,2M19155340-6036322,19155340-6036322,2mass
150827003401045,2M22432299-1549395,22432299-1549395,2mass
161213004601121,2M06264054-7008321,06264054-7008321,2mass
151111002601076,2M03303769+1750078,03303769+1750078,2mass
171227003601353,2M05562938-6412242,05562938-6412242,2mass
180101002101339,2M05214524-6202462,05214524-6202462,2mass
171205003101209,2M06141137-5645143,06141137-5645143,2mass
170115002701362,2M06553378-6100120,06553378-6100120,2mass
180603003201392,2M18355857-3010171,18355857-3010171,2mass
171031003301396,2M06174037-1837006,06174037-1837006,2mass
171227002601191,2M05124758-7107062,05124758-7107062,2mass
180101002601116,2M05183681-6647566,05183681-6647566,2mass
170219002101025,2M06085664-7246310,06085664-7246310,2mass
170114003101084,2M06293680-6410285,06293680-6410285,2mass
140608003101117,2M15584868-2308175,15584868-2308175,2mass
171227004601243,2M05523188-5812147,05523188-5812147,2mass
161219003101042,2M04541738-5951429,04541738-5951429,2mass
160401002101263,2M08395506+2003541,08395506+2003541,2mass
170109004301047,2M07233112-7035033,07233112-7035033,2mass
201202001601134,2M23294581-1156503,23294581-1156503,2mass
230214001601265,2M06410204+0630471,06410204+0630471,2mass
200513002101258,2M07534131-0506186,07534131-0506186,2mass
170603007701171,2M22075828-1055391,22075828-1055391,2mass
160531004601036,2M19222345-2857396,19222345-2857396,2mass
161106002101148,2M23503253-0421008,23503253-0421008,2mass
171205004101119,2M06105618-6853278,06105618-6853278,2mass
160330001601066,2M07352688+0335058,07352688+0335058,2mass
171205003101093,2M06174336-5733027,06174336-5733027,2mass
160123001601103,2M07193630-3954467,07193630-3954467,2mass
170203001601370,2M05022109+2451495,05022109+2451495,2mass
170109001601048,2M06545020-7615577,06545020-7615577,2mass
160330001601252,2M07320712+0443370,07320712+0443370,2mass
171031003301392,2M06171930-1836156,06171930-1836156,2mass
200528001601137,2M13354882-1453240,13354882-1453240,2mass
160403004701241,2M13373091-1055392,13373091-1055392,2mass
170509003701165,2M17055566-2451464,17055566-2451464,2mass
161219003601274,2M05504551-7402128,05504551-7402128,2mass
170108003901034,2M07344879-7320104,07344879-7320104,2mass
151111002601338,2M03312277+1920400,03312277+1920400,2mass
170108002701277,2M07084482-5939086,07084482-5939086,2mass
171206004601256,2M06061250-7008216,06061250-7008216,2mass
170114005801352,2M06495058-7321392,06495058-7321392,2mass
161213003601040,2M05034431-6211128,05034431-6211128,2mass
160331002701311,2M08530906+1731362,08530906+1731362,2mass
171031003301135,2M06144350-1857114,06144350-1857114,2mass
170107003601111,2M07380987-7138477,07380987-7138477,2mass
230802002101337,2M18362025-2333225,18362025-2333225,2mass
160531004601039,2M19224557-2904143,19224557-2904143,2mass
170203001901322,2M06173261-6209151,06173261-6209151,2mass
210801001601044,2M16241292-2636190,16241292-2636190,2mass
170115002201145,2M04591653-6949088,04591653-6949088,2mass
160401002101147,2M08385506+1911539,08385506+1911539,2mass
161219003601015,2M06031224-7440599,06031224-7440599,2mass
131216001601012,2M06444455-0059448,06444455-0059448,2mass
161006004401390,2M00492861+0201093,00492861+0201093,2mass
